Gene,Diseases
SUFU,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified; Basal cell nevus syndrome 1; Basal cell nevus syndrome 2; Congenital fibrosarcoma; Craniopharyngioma; Familial meningioma; Gorlin syndrome; Hereditary cancer-predisposing syndrome; Joubert syndrome 32; Medulloblastoma; Meningioma; Microform holoprosencephaly; Neurodevelopmental disorder; Oculomotor apraxia; Oculomotor apraxia - Cogan type; Prostate cancer; SUFU-related disorder; SUFU-related ocular motor apraxia; See cases"
SUPT4H1,NA
SYK,Arthritis; Colitis; Decreased circulating immunoglobulin concentration; Immunodeficiency; Immunodeficiency 82 with systemic inflammation; Joint swelling; Long QT syndrome; SYK-related disorder; Skin rash
SYTL3,NA
TAP1,"Inborn genetic diseases; MHC class I deficiency; MHC class I deficiency 1; PEPTIDE TRANSPORTER PSF1 POLYMORPHISM; TAP1 deficiency, somatic; TAP1-related disorder"
TAP2,EBV-positive nodal T- and NK-cell lymphoma; Inborn genetic diseases; MHC class I deficiency; MHC class I deficiency 1; MHC class I deficiency 2; TAP2 POLYMORPHISM; TAP2-related disorder
TBX3,Eccrine porocarcinoma; Inborn genetic diseases; Obesity; TBX3-related disorder; Ulnar-mammary syndrome
TCF3,"Agammaglobulinemia 8, autosomal dominant; Agammaglobulinemia 8b, autosomal recessive; Castleman-Kojima disease; Inborn genetic diseases; Multiple myeloma; Myeloproliferative neoplasm, unclassifiable; Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia; See cases; TCF3-related disorder"
TCF7L2,"Autism; Complex neurodevelopmental disorder; Diabetes mellitus type 2, susceptibility to; Inborn genetic diseases; Intellectual disability; Neurodevelopmental abnormality; Neurodevelopmental delay; Normal pregnancy; TCF7L2-related Intellectual disability; TCF7L2-related disorder; TCF7L2-related neurodevelopmental disorder; TCF7L2-relatedIntellectual disability; Type 2 diabetes mellitus"
TCOF1,"Cleft lip/palate; Ehlers-Danlos syndrome; Emery-Dreifuss muscular dystrophy 4, autosomal dominant; Hearing impairment; Inborn genetic diseases; Intellectual disability; Microcephaly; See cases; TCOF1-related disorder; Treacher Collins syndrome; Treacher Collins syndrome 1"
TEK,"Abnormal cardiovascular system morphology; Arteriovenous malformation; Blue rubber bleb nevus; Bockenheimer syndrome; Glaucoma 3, primary congenital, E; Glaucoma 3, primary infantile, B; Inborn genetic diseases; Multiple cutaneous and mucosal venous malformations; Neutropenia, severe congenital, 2, autosomal dominant; Segmental undergrowth associated with venous malformation without capillary component; TEK-related disorder; Vascular malformation; Vascular skin disorders; Venous malformation; Ventricular septal defect"
TERT,"Abnormal pulmonary interstitial morphology; Acute myeloid leukemia; Aplastic anemia; Autosomal recessive dyskeratosis congenita 4; Breast carcinoma; Chronic diarrhea; Chronic obstructive pulmonary disease; Chronic osteomyelitis; Combined pulmonary fibrosis-emphysema syndrome; Coronary artery disease, susceptibility to; Decreased circulating immunoglobulin concentration; Developmental and epileptic encephalopathy, 18; DiGeorge syndrome; Dyskeratosis congenita; Dyskeratosis congenita, autosomal dominant 1; Dyskeratosis congenita, autosomal dominant 2; Dyskeratosis congenita, autosomal recessive 1; Dyskeratosis congenita, autosomal recessive 5; Esophageal atresia; Hepatoblastoma; Hepatocellular carcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Hoyeraal-Hreidarsson syndrome; Idiopathic Pulmonary Fibrosis; Immunodeficiency; Inherited Immunodeficiency Diseases; Intellectual disability; Interstitial lung disease 2; Leukemia, acute myeloid, susceptibility to; Lung sarcomatoid carcinoma; Macrocytic anemia; Malignant tumor of breast; Malignant tumor of urinary bladder; Melanoma, cutaneous malignant, susceptibility to, 1; Melanoma, cutaneous malignant, susceptibility to, 9; Microcephaly; Myelodysplasia; Premature graying of hair; Pulmonary fibrosis; Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 1; Pyloric stenosis; Short telomere length; Susceptibility to severe coronavirus disease (COVID-19); TERT-associated disorder; TERT-related disorder; Telomere syndrome"
TESK2,NA
TET1,Hearing impairment; Hypothyroidism; Neurodevelopmental delay; TET1-related disorder
TET2,"Angioimmunoblastic T-cell lymphoma; Atypical chronic myeloid leukemia, BCR-ABL1 negative; Clonal hematopoiesis; EBV-positive nodal T- and NK-cell lymphoma; Familial cancer of breast; Immunodeficiency 75; Multiple myeloma; Myelodysplastic syndrome; Nephroblastoma; Squamous cell carcinoma; TET2-related disorder; Third degree atrioventricular block"
TET2-AS1,NA
TEX14,Male infertility with azoospermia or oligozoospermia due to single gene mutation; Non-obstructive azoospermia; Prostate cancer; Spermatogenic failure 23; TEX14-related disorder
TGFBR1,"Abnormal aortic morphology; Abnormal palate morphology; Aortic aneurysm; Aortic aneurysm, familial thoracic 6; Cardiovascular phenotype; Connective tissue disorder; Craniosynostosis syndrome; Disproportionate tall stature; Ehlers-Danlos syndrome; Ehlers-Danlos syndrome, classic type; Familial aortopathy; Familial thoracic aortic aneurysm and aortic dissection; Isolated thoracic aortic aneurysm; Loeys-Dietz syndrome; Loeys-Dietz syndrome 1; Long fingers; Marfan syndrome; Multiple self-healing squamous epithelioma; Myoepithelial tumor; Pectus excavatum; Proportionate tall stature; See cases; TGFBR1-related disorder; Thoracic aortic aneurysm; Thoracic aortic aneurysm or dissection"
TGFBR2,"Arterial dissection; Ascending tubular aorta aneurysm; Cardiovascular phenotype; Colorectal cancer, hereditary nonpolyposis, type 6; Congenital aneurysm of ascending aorta; Connective tissue disorder; Diabetic retinopathy; Ehlers-Danlos syndrome; Familial colorectal cancer; Familial thoracic aortic aneurysm and aortic dissection; Hepatoblastoma; Inborn genetic diseases; Isolated thoracic aortic aneurysm; Loeys-Dietz syndrome; Loeys-Dietz syndrome 1; Loeys-Dietz syndrome 2; Lynch syndrome; Malignant tumor of esophagus; Marfan syndrome; Multiple congenital anomalies/dysmorphic syndrome; TGFBR2-related disorder; Thoracic aortic aneurysm; Thoracic aortic aneurysm or dissection; Thoracic aortic dissection; Vascular dilatation; Wolff-Parkinson-White pattern"
TGFBR3L,NA
TIMM8A,Auditory neuropathy; Deafness dystonia syndrome; Inborn genetic diseases
TIPARP,NA
TMEM43,"Arrhythmogenic right ventricular cardiomyopathy; Arrhythmogenic right ventricular dysplasia 5; Auditory neuropathy, autosomal dominant 3; Cardiomyopathy; Cardiovascular phenotype; Emery-Dreifuss muscular dystrophy 2, autosomal dominant; Emery-Dreifuss muscular dystrophy 7, autosomal dominant; Familial isolated arrhythmogenic right ventricular dysplasia; Hypertrophic cardiomyopathy; Left ventricular noncompaction cardiomyopathy; Long QT syndrome; Primary dilated cardiomyopathy; Primary familial hypertrophic cardiomyopathy; See cases; Sudden cardiac arrest; TMEM43-related disorder"
TMPRSS2,Associated with severe COVID-19 disease; EBV-positive nodal T- and NK-cell lymphoma; Prostate cancer; TMPRSS2-related disorder
TNFAIP3,"A20 haploinsufficiency; Autoinflammatory syndrome, familial, Behcet-like; Autoinflammatory syndrome, familial, Behcet-like 1; Inborn genetic diseases; See cases; TNFAIP3-related disorder"
TNFRSF14,NA
TNFRSF6B,"Dyskeratosis congenita, autosomal recessive 5; Long QT syndrome; TNFRSF6B-related disorder"
TNFRSF8,Prostate cancer
TNFSF11,Autosomal recessive osteopetrosis 2; Disorder of bone; Inborn genetic diseases; TNFSF11-related disorder
TOE1,Inborn genetic diseases; Pontocerebellar hypoplasia type 7; See cases; TOE1-related disorder
TOP1,"Autism spectrum disorder; DNA topoisomerase I, camptothecin-resistant; TOP1-related disorder"
TP53,"ADRENOCORTICAL CARCINOMA, PEDIATRIC; Acute megakaryoblastic leukemia; Acute myeloid leukemia; Adenocarcinoma; Adrenal cortex carcinoma; Adrenocortical carcinoma, hereditary; Anaplastic/large cell medulloblastoma; Astrocytoma; Astrocytoma, anaplastic; Atypical endometrial hyperplasia; Atypical teratoid rhabdoid tumor; B-cell chronic lymphocytic leukemia; Basal cell carcinoma, susceptibility to, 7; Bone marrow failure syndrome 5; Bone osteosarcoma; Breast adenocarcinoma; Breast and/or ovarian cancer; Breast carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Breast-ovarian cancer, familial, susceptibility to, 3; Carcinoma of colon; Carcinoma of pancreas; Cervical cancer; Choroid plexus carcinoma; Choroid plexus papilloma; Classic Hodgkin lymphoma; Colonic diverticula; Colonic neoplasm; Colorectal cancer; Colorectal polyposis; Congenital fibrosarcoma; Diamond-Blackfan anemia; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Ductal carcinoma in situ; Dyskeratosis congenita; Dyskeratosis congenita, autosomal recessive 3; Endometrial carcinoma; Familial cancer of breast; Familial colorectal cancer; Familial melanoma; Familial ovarian cancer; Familial pancreatic carcinoma; Gallbladder cancer; Gastric cancer; Glioma susceptibility 1; Hepatoblastoma; Hepatocellular carcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Li-Fraumeni syndrome; Li-Fraumeni syndrome 1; Li-fraumeni-like syndrome; Lip and oral cavity carcinoma; Lung adenocarcinoma; Lung sarcomatoid carcinoma; Lymphoma; Malignant glioma; Malignant lymphoma, large B-cell, diffuse; Malignant tumor of breast; Malignant tumor of esophagus; Malignant tumor of urinary bladder; Mediastinal germ cell tumor; Multiple myeloma; Nasopharyngeal carcinoma; Neoplasm of stomach; Non-Hodgkin lymphoma; Ovarian cancer; Ovarian neoplasm; Pleomorphic xanthoastrocytoma; Poly (ADP-Ribose) polymerase inhibitor response; Prostate cancer; Prostate cancer, hereditary, 1; Rhabdomyosarcoma; Sarcoma; See cases; Small cell carcinoma of the ovary, hypercalcemic type; Squamous cell carcinoma; Squamous cell carcinoma of the head and neck; TP53 POLYMORPHISM; TP53-related disorder; Thyroid cancer, nonmedullary, 1; Thyroid gland undifferentiated (anaplastic) carcinoma"
TP53BP1,Autosomal recessive chorioretinopathy-microcephaly syndrome; Developmental disorder; Inborn genetic diseases; Microcephaly and chorioretinopathy 3; TP53BP1-related disorder; TUBGCP4-related disorder
TP63,"ADULT syndrome; Ankyloblepharon filiforme adnatum-cleft palate syndrome; Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome; Auditory neuropathy; Bladder exstrophy-epispadias-cloacal extrophy complex; Ectodermal dysplasia; Ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3; Furrowed tongue; Inborn genetic diseases; Limb-mammary syndrome; Male infertility with spermatogenesis disorder; Muscular dystrophy; Orofacial cleft 8; Premature ovarian failure 21; Premature ovarian insufficiency; Prostate cancer; Rapp-Hodgkin syndrome; Skeletal dysplasia; Split hand-foot malformation 4; TP63-Related Spectrum Disorders; TP63-related disorder; TP63-related ectodermal dysplasia; TP63-related ectodermal dysplasia spectrum with limb and orofacial malformations"
TPMT,Azathioprine response; TPMT-related disorder; Thiopurine S-methyltransferase deficiency; Thiopurine response
TRAF2,NA
TSC1,Acute myeloid leukemia; Adenoma sebaceum; Angiofibromas; Astrocytoma; Autism spectrum disorder; Autosomal dominant epilepsy; Cardiac rhabdomyoma; Cleft palate; Cortical dysplasia; Cortical tubers; Craniopharyngioma; Epilepsy; Focal cortical dysplasia of Taylor type 2B; Hamartoma; Hearing impairment; Hereditary cancer; Hereditary cancer-predisposing syndrome; Intellectual disability; Isolated focal cortical dysplasia type II; Keratoconus; Kidney angiomyolipoma; Kidney failure; Lung lymphangioleiomyomatosis; Lymphangiomyomatosis; Malignant tumor of breast; Malignant tumor of urinary bladder; Multiple renal cysts; Neuroblastoma; Ovarian cancer; Primitive neuroectodermal tumor; Renal cortical cysts; Renal insufficiency; See cases; Seizure; TSC1-related disorder; Tuberous sclerosis 1; Tuberous sclerosis syndrome
TSC2,"Abnormal cerebral morphology; Abnormality of the nervous system; Acute myeloid leukemia; Arthralgia; Astroblastoma, MN1-altered; Autism spectrum disorder; Bone osteosarcoma; Cafe-au-lait spot; Colorectal cancer; Congenital anomaly of kidney and urinary tract; Cortical tubers; Cystic fibrosis; Dental enamel pits; Dilated cardiomyopathy 1D; Dystonia, early-onset, and/or spastic paraplegia; Epilepsy; Everolimus response; Familial adenomatous polyposis 3; Focal cortical dysplasia; Hamartoma; Hereditary cancer-predisposing syndrome; Hirschsprung disease, susceptibility to, 1; Hyperextensibility at elbow; Hyperextensible hand joints; Hypertrophic cardiomyopathy 7; Infantile spasms; Inherited polyposis and early onset colorectal cancer - germline testing; Intellectual disability; Isolated focal cortical dysplasia type II; Joint hypermobility; Lung lymphangioleiomyomatosis; Lymphangiomyomatosis; NTHL1-related disorder; Neoplasm; Neoplasm of brain; Neuroblastoma; Neurodevelopmental delay; Neurodevelopmental disorder; Ovarian cancer; Recurrent fever; Renal cyst; Rhabdomyoma; See cases; Seizure; Severe intellectual disability; TSC2-related disorder; Tall stature; Tuberous sclerosis 1; Tuberous sclerosis 2; Tuberous sclerosis and lymphangiomyomatosis; Tuberous sclerosis syndrome; Vascular dementia; Vesicoureteral reflux 8; Xanthinuria type II"
TSHR,"Bladder exstrophy-epispadias-cloacal extrophy complex; Congenital hypothyroidism; Developmental delay; Epilepsy; Familial gestational hyperthyroidism; Familial hyperthyroidism due to mutations in TSH receptor; Graves disease, susceptibility to, 1; Hereditary breast ovarian cancer syndrome; Hyperthyroidism; Hyperthyroidism, Congenital hypothyroidism; Hypothyroidism due to TSH receptor mutations; Inborn genetic diseases; Malignant tumor of breast; Ovarian cancer; Smith-Lemli-Opitz syndrome; THYROID CARCINOMA WITH THYROTOXICOSIS, SOMATIC; TSHR-related disorder; Thyroid adenoma, hyperfunctioning, somatic; autistic features"
TSPAN31,NA
TSPOAP1-AS1,NA
TTC34,NA
TYK2,Immunodeficiency; Immunodeficiency 35; Inborn genetic diseases; Recurrent skin infections; TYK2-related disorder; Virus-induced diabetes
TYMS,"Dyskeratosis congenita; Dyskeratosis congenita, digenic; TYMS-related disorder"
TYMSOS,NA
TYRO3,"46,XX disorder of sex development; Hereditary breast ovarian cancer syndrome"
U2AF1L4,NA
UBXN11,NA
USHBP1,NA
VCP,"Adult onset neurodegenerative disorder; Alzheimer disease; Amyotrophic lateral sclerosis; Amyotrophic lateral sclerosis type 6; Charcot-Marie-Tooth disease type 2Y; Childhood Onset VCP-related Neurodevelopmental Disorder; FRONTOTEMPORAL DEMENTIA WITHOUT AMYOTROPHIC LATERAL SCLEROSIS 6, WITH NEUROFIBRILLARY TANGLES; Frontotemporal dementia and/or amyotrophic lateral sclerosis 6; Global developmental delay; INCLUSION BODY MYOPATHY WITHOUT EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA 1; Inborn genetic diseases; Inclusion body myopathy with Paget disease of bone and frontotemporal dementia; Inclusion body myopathy with Paget disease of bone and frontotemporal dementia type 1; Intellectual disability; Lewy body dementia; Neurodevelopmental disorder; Progressive muscle weakness; Spastic paraplegia; VCP-related disorder; VCP-related multisystem proteinopathy"
VEGFA,"Atherosclerosis, susceptibility to; Cholangiocarcinoma; Microvascular complications of diabetes, susceptibility to, 1; Prostate cancer, hereditary, 1; VEGFA-related disorder"
VHL,"Acute leukemia of ambiguous lineage; Au-Kline syndrome; Cerebellar hemangioblastoma; Chuvash polycythemia; Congenital Erythrocytosis; Diffuse midline glioma, H3 K27-altered; Enchondromatosis; Familial infantile myasthenia; Fanconi anemia; Fanconi anemia complementation group D2; Fetal anomalies with a likely genetic cause; Hepatoblastoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; Inherited phaeochromocytoma and paraganglioma excluding NF1; Lung sarcomatoid carcinoma; Maffucci syndrome; Nonpapillary renal cell carcinoma; Ovarian cancer; Pancreatic cysts; Papillary renal cell carcinoma type 1; Pheochromocytoma; Polycythemia; RENAL CELL CARCINOMA WITH PARANEOPLASTIC ERYTHROCYTOSIS; Renal cyst; Retinal capillary hemangioma; See cases; Skin adenoma; Spinal hemangioblastoma; Tuberous sclerosis 2; VHL-related disorder; Von Hippel-Lindau syndrome"
VRK2,NA
VTCN1,NA
WAS,"Abnormal bleeding; Abnormality of blood and blood-forming tissues; Inborn genetic diseases; THROMBOCYTOPENIA, X-LINKED, INTERMITTENT; Thrombocytopenia; Thrombocytopenia 1; WAS-related disorder; WISKOTT-ALDRICH SYNDROME, ATTENUATED; Wiskott-Aldrich syndrome; X-Linked Neutropenia (XLN); X-linked severe congenital neutropenia"
WISP3,NA
WNK1,"Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy; Hereditary neuropathy or pain disorder; Inborn genetic diseases; Neuropathy, hereditary sensory and autonomic, type 2A; Peripheral neuropathy; Pseudohypoaldosteronism type 2C; See cases; Variant of unknown significance; WNK1-related disorder"
WT1,"11p partial monosomy syndrome; Acute myeloid leukemia; Ambiguous genitalia; Aniridia 1; Atypical hemolytic-uremic syndrome; Cholestasis; Chronic kidney disease; Corticosteroids response; Differences in sex development; Disorder of sexual differentiation; Drash syndrome; Familial idiopathic steroid-resistant nephrotic syndrome; Finnish congenital nephrotic syndrome; Focal segmental glomerulosclerosis; Frasier syndrome; Gonadal dysgenesis; Gonadal tissue inappropriate for external genitalia or chromosomal sex; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Kidney disorder; Leber congenital amaurosis 10; Male infertility with azoospermia or oligozoospermia due to single gene mutation; Meacham syndrome; Mesothelioma; Mesothelioma, malignant; Microscopic hematuria; Mixed phenotype acute leukemia with t(v%3B11q23.3); Nephroblastoma; Nephrotic range proteinuria; Nephrotic syndrome; Nephrotic syndrome, type 4; Ovarian cancer; Precursor B-cell acute lymphoblastic leukemia; Premature ovarian failure; Proteinuria; Steroid-resistant nephrotic syndrome; WT1-related Wilms tumor; WT1-related disorder; Wilms tumor 1"
WT1-AS,NA
WWTR1,NA
XPC,"Familial prostate cancer; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Ovarian cancer; See cases; XPC-related disorder; Xeroderma pigmentosum; Xeroderma pigmentosum group A; Xeroderma pigmentosum, group C"
XPO1,Seizure; XPO1-associated Neurodevelopmental Disorder; XPO1-related neurodevelopmental disorder
XRCC1,"Laryngeal squamous cell carcinoma; Platinum compounds response - Efficacy; Spinocerebellar ataxia, autosomal recessive 26; XRCC1-related disorder"
XRN1,Neurodevelopmental disorder
YES1,NA
ZBTB17,Primary dilated cardiomyopathy; ZBTB17-related disorder
ZBTB22,NA
ZBTB32,NA
ZFHX3,"Atrial fibrillation, familial, 8; Autism spectrum disorder; Developmental disorder; EBV-positive nodal T- and NK-cell lymphoma; Epilepsy, idiopathic generalized 20; Familial prostate cancer; Genetic developmental and epileptic encephalopathy; Intellectual disability; Moyamoya angiopathy; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Prostate cancer, somatic; Short stature; Syndromic intellectual disability; ZFHX3-associated disorder; ZFHX3-associated neurodevelopmental disorder; ZFHX3-related disorder"
ZFHX3-AS1,NA
ZNF217,NA
ZNF276,NA
ZNF703,NA
ZSCAN25,NA
